bowler,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
AR Patel,28,65,32,174,210,147,282,287,373,316,297,214,344,250,188,223,98,82,64,33
AS Joseph,0,22,14,37,60,42,51,16,34,11,75,46,28,28,13,42,30,43,15,62
AS Rajpoot,63,88,111,33,63,26,25,20,18,33,16,7,23,33,21,18,0,83,38,53
AS Raut,0,0,0,0,0,0,0,0,0,0,0,0,8,10,13,13,0,0,0,0
AS Roy,0,3,0,12,25,35,18,0,5,8,55,0,4,10,0,4,0,6,0,0
AU Rashid,0,0,0,0,0,0,29,0,24,0,10,0,0,14,4,10,0,0,0,0
AUK Pathan,0,0,0,0,0,0,0,0,0,0,0,8,5,0,16,14,9,0,5,0
Abdul Samad,0,0,0,0,0,0,11,8,46,0,11,0,0,0,17,0,0,0,0,15
Abdur Razzak,0,0,0,0,0,0,0,16,0,0,0,0,0,7,0,0,0,0,0,0
Abhishek Sharma,30,24,0,0,0,5,46,31,29,60,20,27,23,24,9,41,11,0,0,0
Akash Deep,0,0,0,19,14,37,20,29,10,0,47,6,25,0,26,11,12,20,10,22
Akash Madhwal,0,9,4,26,33,19,4,0,6,33,28,41,7,19,18,40,48,12,14,46
Akash Singh,56,0,72,6,26,0,8,0,0,14,0,0,0,0,15,17,0,0,10,0
Aman Hakim Khan,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Anand Rajan,0,5,0,3,20,15,10,3,9,6,28,4,5,0,4,11,0,0,44,21
Ankit Sharma,57,26,36,0,31,0,11,22,37,17,25,24,35,18,51,26,14,0,0,6
Ankit Soni,0,0,0,3,0,0,4,33,1,35,12,19,16,14,0,0,0,0,4,0
Anureet Singh,0,82,16,55,15,19,17,14,28,10,23,13,26,21,29,36,102,4,19,72
Arjun Tendulkar,16,2,24,0,7,0,11,0,0,0,0,0,0,0,12,29,0,0,0,3
Arshad Khan,16,28,48,35,15,0,0,0,0,6,0,0,0,0,23,17,38,8,10,14
Arshad Khan (2),0,0,0,0,0,0,0,10,0,12,0,0,0,0,0,0,0,0,0,0
Arshdeep Singh,72,213,168,183,107,127,5,4,29,15,19,66,43,62,103,108,119,170,196,149
Atharva Taide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Avesh Khan,18,117,62,179,112,230,47,45,29,48,34,79,32,38,87,68,155,134,221,174
Azhar Mahmood,16,52,3,37,7,39,30,35,20,19,25,8,23,26,14,54,80,38,87,68
Azmatullah Omarzai,40,0,84,0,34,0,4,0,3,0,0,0,0,0,0,0,0,16,0,0
B Akhil,0,0,0,0,12,0,15,6,29,8,34,8,6,11,16,48,36,0,6,0
B Chipli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
B Geeves,0,20,0,29,0,0,0,0,0,0,15,0,0,7,9,10,0,0,0,0
B Kumar,585,211,725,271,185,216,12,24,22,69,27,69,92,45,190,230,418,463,466,424
B Laughlin,0,0,0,7,15,37,0,6,0,9,33,15,9,0,7,10,10,40,22,51
B Lee,188,21,233,45,29,24,4,11,0,4,11,0,18,10,13,57,122,40,170,42
B Stanlake,14,25,19,16,26,6,0,3,6,6,10,0,0,41,11,0,0,0,0,11
BA Bhatt,3,45,0,21,19,27,11,3,13,17,22,21,35,15,42,30,36,18,4,7
BA Stokes,0,22,0,46,167,45,19,53,24,46,33,37,61,43,47,49,31,38,93,102
BAW Mendis,18,15,3,10,15,5,18,29,40,0,15,20,11,0,18,24,40,7,7,0
BB Sran,26,105,34,59,81,25,11,45,26,0,49,9,30,14,73,26,43,37,9,16
BCJ Cutting,0,13,0,14,29,10,15,20,26,10,19,33,23,42,24,24,38,36,13,33
BE Hendricks,0,42,0,58,0,0,10,3,0,17,8,0,0,0,10,12,31,15,4,14
BJ Hodge,25,0,0,0,0,25,25,10,14,41,18,76,0,37,0,12,0,11,0,0
BJ Rohrer,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
BMAJ Mendis,0,0,0,0,0,0,2,0,6,0,7,0,21,0,0,0,0,0,0,0
BW Hilfenhaus,66,29,47,35,51,4,0,4,0,7,12,0,12,0,18,24,28,5,72,47
Basil Thampi,25,39,29,81,62,12,11,43,12,32,0,56,28,38,38,31,97,62,52,80
Bipul Sharma,3,5,22,27,10,8,66,56,40,65,28,55,16,51,23,33,0,31,18,0
C Ganapathy,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
C Green,23,14,28,21,18,22,17,43,36,5,57,22,66,49,27,89,2,87,2,6
C Munro,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
