bowler,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Harbhajan Singh,5,5,1,7,4,8,12,13,8,12,12,13,6,12,5,7,8,6,4,1
Harmeet Singh,0,0,0,2,2,2,1,0,1,1,1,2,1,3,1,4,2,0,3,1
Harpreet Brar,0,0,0,0,0,0,2,2,6,0,5,1,2,1,3,0,2,0,1,0
Harshit Rana,0,3,3,1,1,1,2,2,0,0,1,0,0,0,3,2,1,2,1,2
I Sharma,3,13,7,19,9,6,2,0,2,0,0,2,4,3,2,2,3,3,6,6
I Udana,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1
IC Pandey,2,0,3,1,4,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1
IC Porel,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IK Pathan,8,9,2,5,3,1,1,1,1,1,5,1,2,7,5,2,1,8,4,13
IS Sodhi,0,0,0,2,0,0,0,0,3,0,0,1,1,1,1,0,0,0,0,0
Imran Tahir,0,0,0,0,1,2,5,1,6,5,8,7,3,10,9,3,11,3,6,2
Iqbal Abdulla,1,3,3,2,2,3,1,3,0,0,3,3,4,2,4,3,1,2,0,0
J Botha,0,1,1,0,2,0,0,1,2,3,3,2,0,1,1,2,2,3,0,1
J Little,0,0,0,2,0,1,1,2,0,1,2,1,1,0,0,0,0,0,0,0
J Suchith,1,0,0,1,1,0,2,1,5,2,1,0,1,2,1,0,0,0,0,1
J Syed Mohammad,0,0,0,0,1,0,0,1,0,0,2,1,1,0,1,1,0,0,0,0
J Theron,2,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,2,1
J Yadav,0,1,0,2,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0
JA Morkel,7,6,8,5,2,5,2,4,4,4,1,1,0,1,3,2,6,5,16,2
JA Richardson,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
JC Archer,5,2,4,3,1,2,0,0,0,0,3,2,0,2,3,1,1,4,11,4
JD Ryder,0,0,0,0,0,0,1,1,2,2,0,1,0,0,0,0,1,0,0,0
JD Unadkat,2,4,3,6,2,6,2,0,3,1,3,1,2,7,9,4,13,10,5,16
JDP Oram,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1
JDS Neesham,0,0,0,1,0,0,2,0,2,1,0,0,0,0,2,0,0,0,0,0
JE Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
JEC Franklin,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,2,0,1,0,0
JH Kallis,0,1,1,4,2,10,3,4,4,0,5,0,5,0,2,2,4,10,3,5
JJ Bumrah,4,11,4,7,5,6,1,2,0,1,5,6,10,7,8,11,21,22,23,14
JJ van der Wath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
JL Pattinson,0,2,0,0,2,0,0,0,0,1,0,0,0,2,0,1,0,1,2,0
JM Kemp,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
JO Holder,0,1,0,3,4,1,0,1,4,2,2,1,1,1,3,5,0,6,7,11
JP Behrendorff,3,1,5,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,3,2
JP Duminy,0,1,2,0,0,0,2,1,2,1,2,3,2,2,2,0,3,0,0,0
JP Faulkner,2,5,3,2,3,1,0,2,1,1,1,2,2,2,2,3,6,4,12,7
